publish_date,weekday,slot,slot_job,brief_id,pillar,brief_file,output_file,url,working_h1,primary_query,word_target,affiliate,author,freshness_tier,content_type,status,drafted_on,reviewed_by,published_on,quality_passed_on,image_generated_on,notes
2026-10-14,Wed,011,core editorial,011,P4,briefs/2026-10-14-moganshan-noodles.md,output/moganshan-noodles.md,/things-to-do/moganshan-noodles/,Moganshan noodles: the four shops locals actually queue for,where to eat moganshan,1300,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,Desk written from published sources; never claim it was walked.
2026-10-15,Thu,D2026-42,weekly dispatch,D2026-42,P9,briefs/templates/dispatch.md,output/dispatch-2026-42.md,/journal/news/dispatch/2026-42/,"Moganshan dispatch, week 42",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2026-10-17,Sat,012,core editorial,012,P2,briefs/2026-10-17-houwu.md,output/houwu.md,/moganshan/villages/houwu/,"Houwu: streams, a thousand-year ginkgo, and the second transfer centre",houwu village moganshan,1500,go/stays-village-houwu,echo-peng,semi-stable,Village,not_started,,,,,,
2026-10-20,Tue,013,core editorial,013,P1,briefs/2026-10-20-can-a-guesthouse-refuse-your-passport-foreign.md,output/can-a-guesthouse-refuse-your-passport-foreign.md,/plan/can-a-guesthouse-refuse-your-passport-foreign/,Can a guesthouse refuse your passport? Foreign guest registration in rural Zhejiang,china homestay foreigners passport,2200,go/stays-all,cyril-drouin,volatile,Article,not_started,,,,,,Desk written from published sources; never claim it was walked.
2026-10-22,Thu,D2026-43,weekly dispatch,D2026-43,P9,briefs/templates/dispatch.md,output/dispatch-2026-43.md,/journal/news/dispatch/2026-43/,"Moganshan dispatch, week 43",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2026-10-23,Fri,014,core editorial,014,P3,briefs/2026-10-23-biwu-dragon-pool.md,output/biwu-dragon-pool.md,/things-to-do/biwu-dragon-pool/,Biwu Dragon Pool: the easiest good walk on the mountain,biwu longtan,1400,no affiliate,liyan-ye,semi-stable,Trail,not_started,,,,,,
2026-10-26,Mon,015,core editorial,015,P3,briefs/2026-10-26-kailas-moganshan-skyrace.md,output/kailas-moganshan-skyrace.md,/things-to-do/kailas-moganshan-skyrace/,The Kailas Moganshan Skyrace: what a 100k trail race does to a small mountain,moganshan trail race,1500,go/stays-all,liyan-ye,semi-stable,Article,not_started,,,,,,
2026-10-29,Thu,016,core editorial,016,P1,briefs/2026-10-29-getting-a-car-back-down.md,output/getting-a-car-back-down.md,/plan/getting-a-car-back-down/,"Getting a car back down: Didi, taxis and the Moganshan pickup problem",didi moganshan,1200,no affiliate,cyril-drouin,volatile,Article,not_started,,,,,,
2026-10-29,Thu,D2026-44,weekly dispatch,D2026-44,P9,briefs/templates/dispatch.md,output/dispatch-2026-44.md,/journal/news/dispatch/2026-44/,"Moganshan dispatch, week 44",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2026-11-01,Sun,017,core editorial,017,P4,briefs/2026-11-01-mogan-huangya.md,output/mogan-huangya.md,/things-to-do/mogan-huangya/,Mogan Huangya: the yellow tea almost nobody outside China drinks,mogan huangya,1700,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2026-11-04,Wed,018,core editorial,018,P7,briefs/2026-11-04-moganshan-vs-anji.md,output/moganshan-vs-anji.md,/itineraries/moganshan-vs-anji/,"Moganshan vs Anji: two bamboo mountains, one weekend",moganshan vs anji,1900,go/stays-all,echo-peng,semi-stable,Comparison,not_started,,,,,,
2026-11-05,Thu,D2026-45,weekly dispatch,D2026-45,P9,briefs/templates/dispatch.md,output/dispatch-2026-45.md,/journal/news/dispatch/2026-45/,"Moganshan dispatch, week 45",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2026-11-07,Sat,019,core editorial,019,P5,briefs/2026-11-07-villa-62-and-the-five-hundred-year.md,output/villa-62-and-the-five-hundred-year.md,/journal/villa-62-and-the-five-hundred-year/,Villa 62 and the five-hundred-year maple,moganshan villas,1300,no affiliate,cyril-drouin,evergreen,Article,not_started,,,,,,
2026-11-10,Tue,020,core editorial,020,P1,briefs/2026-11-10-esim-vpn-and-data-on-the-mountain.md,output/esim-vpn-and-data-on-the-mountain.md,/plan/esim-vpn-and-data-on-the-mountain/,"eSIM, VPN and data on the mountain: what works in the bamboo",china esim,1400,no affiliate,cyril-drouin,volatile,Article,not_started,,,,,,
2026-11-12,Thu,D2026-46,weekly dispatch,D2026-46,P9,briefs/templates/dispatch.md,output/dispatch-2026-46.md,/journal/news/dispatch/2026-46/,"Moganshan dispatch, week 46",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2026-11-13,Fri,021,core editorial,021,P2,briefs/2026-11-13-laoling.md,output/laoling.md,/moganshan/villages/laoling/,Laoling and Sanjiuwu: where the foreign farmstay began,laoling moganshan,1700,go/stays-village-laoling,echo-peng,semi-stable,Village,not_started,,,,,,
2026-11-16,Mon,022,core editorial,022,P6,briefs/2026-11-16-what-actually-closes-in-winter-on-moganshan.md,output/what-actually-closes-in-winter-on-moganshan.md,/seasons/what-actually-closes-in-winter-on-moganshan/,What actually closes in winter on Moganshan,moganshan winter,1300,go/stays-all,liyan-ye,semi-stable,Article,not_started,,,,,,
2026-11-19,Thu,023,core editorial,023,P4,briefs/2026-11-19-cave-cafe-at-tongguanshan-and-the-quarry.md,output/cave-cafe-at-tongguanshan-and-the-quarry.md,/things-to-do/cave-cafe-at-tongguanshan-and-the-quarry/,The cave cafe at Tongguanshan and the quarry cafe at Wusi,moganshan cafe,1600,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2026-11-19,Thu,D2026-47,weekly dispatch,D2026-47,P9,briefs/templates/dispatch.md,output/dispatch-2026-47.md,/journal/news/dispatch/2026-47/,"Moganshan dispatch, week 47",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2026-11-22,Sun,024,core editorial,024,P6,briefs/2026-11-22-moganshan-in-the-snow.md,output/moganshan-in-the-snow.md,/seasons/moganshan-in-the-snow/,"Moganshan in the snow: ice curtains, empty villas, and the road",moganshan snow,1200,go/stays-all,liyan-ye,semi-stable,Article,not_started,,,,,,
2026-11-25,Wed,025,core editorial,025,P1,briefs/2026-11-25-deqing-station.md,output/deqing-station.md,/plan/deqing-station/,"Deqing station: which exit, which taxi, which bus",deqing station moganshan,1300,go/train-shanghai-deqing,cyril-drouin,volatile,Article,not_started,,,,,,
2026-11-26,Thu,D2026-48,weekly dispatch,D2026-48,P9,briefs/templates/dispatch.md,output/dispatch-2026-48.md,/journal/news/dispatch/2026-48/,"Moganshan dispatch, week 48",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2026-11-28,Sat,026,core editorial,026,P5,briefs/2026-11-28-1984-moganshan-conference.md,output/1984-moganshan-conference.md,/journal/1984-moganshan-conference/,The 1984 Moganshan Conference: the weekend that helped reprice China,1984 moganshan conference,2400,no affiliate,cyril-drouin,evergreen,Article,not_started,,,,,,
2026-12-01,Tue,027,core editorial,027,P1,briefs/2026-12-01-moganshan-with-a-dog.md,output/moganshan-with-a-dog.md,/plan/moganshan-with-a-dog/,Moganshan with a dog: the free kennels nobody mentions,moganshan pet friendly,1200,go/stays-all,cyril-drouin,volatile,Article,not_started,,,,,,
2026-12-03,Thu,D2026-49,weekly dispatch,D2026-49,P9,briefs/templates/dispatch.md,output/dispatch-2026-49.md,/journal/news/dispatch/2026-49/,"Moganshan dispatch, week 49",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2026-12-04,Fri,028,core editorial,028,P3,briefs/2026-12-04-dayangli-loop.md,output/dayangli-loop.md,/things-to-do/dayangli-loop/,Dayangli loop: 9.8km through the Crouching Tiger bamboo,moganshan bamboo forest walk,1800,no affiliate,liyan-ye,semi-stable,Trail,not_started,,,,,,Desk written from published sources; never claim it was walked.
2026-12-07,Mon,029,core editorial,029,P2,briefs/2026-12-07-wusi.md,output/wusi.md,/moganshan/villages/wusi/,Wusi: the digital village and its quarry coffee,wusi village deqing,1400,no affiliate,echo-peng,semi-stable,Village,not_started,,,,,,
2026-12-10,Thu,030,core editorial,030,P6,briefs/2026-12-10-winter-on-moganshan.md,output/winter-on-moganshan.md,/seasons/winter-on-moganshan/,Winter on Moganshan: the honest case for going in January,moganshan january,1500,go/stays-all,liyan-ye,semi-stable,Article,not_started,,,,,,
2026-12-10,Thu,D2026-50,weekly dispatch,D2026-50,P9,briefs/templates/dispatch.md,output/dispatch-2026-50.md,/journal/news/dispatch/2026-50/,"Moganshan dispatch, week 50",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2026-12-13,Sun,031,core editorial,031,P6,briefs/2026-12-13-chinese-new-year-on-moganshan.md,output/chinese-new-year-on-moganshan.md,/seasons/chinese-new-year-on-moganshan/,"Chinese New Year on Moganshan: what's open, what it costs, what to book",moganshan chinese new year,1500,go/stays-all,liyan-ye,volatile,Article,not_started,,,,,,
2026-12-16,Wed,032,core editorial,032,P7,briefs/2026-12-16-moganshan-vs-wuzhen.md,output/moganshan-vs-wuzhen.md,/itineraries/moganshan-vs-wuzhen/,Moganshan vs Wuzhen: mountain or water town,moganshan vs wuzhen,1800,go/stays-all,echo-peng,semi-stable,Comparison,not_started,,,,,,
2026-12-17,Thu,D2026-51,weekly dispatch,D2026-51,P9,briefs/templates/dispatch.md,output/dispatch-2026-51.md,/journal/news/dispatch/2026-51/,"Moganshan dispatch, week 51",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2026-12-19,Sat,033,core editorial,033,P2,briefs/2026-12-19-heating-in-a-republic-era-villa.md,output/heating-in-a-republic-era-villa.md,/where-to-stay/heating-in-a-republic-era-villa/,"Heating, in a Republic-era villa: which stays are actually warm",moganshan winter accommodation heating,1400,go/stays-all + property links,echo-peng,semi-stable,Article,not_started,,,,,,
2026-12-22,Tue,034,core editorial,034,P4,briefs/2026-12-22-where-to-eat-on-moganshan-village-by.md,output/where-to-eat-on-moganshan-village-by.md,/things-to-do/where-to-eat-on-moganshan-village-by/,"Where to eat on Moganshan, village by village",where to eat moganshan,2200,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,Desk written from published sources; never claim it was walked.
2026-12-24,Thu,D2026-52,weekly dispatch,D2026-52,P9,briefs/templates/dispatch.md,output/dispatch-2026-52.md,/journal/news/dispatch/2026-52/,"Moganshan dispatch, week 52",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2026-12-25,Fri,035,core editorial,035,P5,briefs/2026-12-25-sword-that-named-the-mountain.md,output/sword-that-named-the-mountain.md,/journal/sword-that-named-the-mountain/,"The sword that named the mountain: Gan Jiang, Mo Ye and the forge",moganshan sword legend,1500,no affiliate,cyril-drouin,evergreen,Article,not_started,,,,,,
2026-12-28,Mon,036,core editorial,036,P7,briefs/2026-12-28-moganshan-in-one-day-from-shanghai.md,output/moganshan-in-one-day-from-shanghai.md,/itineraries/moganshan-in-one-day-from-shanghai/,Moganshan in one day from Shanghai: is it really viable?,moganshan day trip from shanghai,1700,go/train-shanghai-deqing,echo-peng,semi-stable,Article,not_started,,,,,,
2026-12-31,Thu,037,core editorial,037,P9,briefs/2026-12-31-what-changed-on-moganshan-in-2026.md,output/what-changed-on-moganshan-in-2026.md,/journal/what-changed-on-moganshan-in-2026/,What changed on Moganshan in 2026,moganshan 2026 changes,1800,no affiliate,cyril-drouin,evergreen,Article,not_started,,,,,,
2026-12-31,Thu,D2026-53,weekly dispatch,D2026-53,P9,briefs/templates/dispatch.md,output/dispatch-2026-53.md,/journal/news/dispatch/2026-53/,"Moganshan dispatch, week 53",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-01-03,Sun,038,core editorial,038,P6,briefs/2027-01-03-sea-of-clouds-from-xuguang-terrace.md,output/sea-of-clouds-from-xuguang-terrace.md,/seasons/sea-of-clouds-from-xuguang-terrace/,Sea of clouds from Xuguang terrace: the 8am gate problem,moganshan sunrise,1400,go/stays-all,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-01-06,Wed,039,core editorial,039,P2,briefs/2027-01-06-hecun.md,output/hecun.md,/moganshan/villages/hecun/,"Hecun: 1,600 mu of tea and a cave",hecun moganshan tea,1400,no affiliate,echo-peng,semi-stable,Village,not_started,,,,,,
2027-01-07,Thu,D2027-01,weekly dispatch,D2027-01,P9,briefs/templates/dispatch.md,output/dispatch-2027-01.md,/journal/news/dispatch/2027-01/,"Moganshan dispatch, week 01",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-01-09,Sat,040,core editorial,040,P3,briefs/2027-01-09-moganshan-hiking.md,output/moganshan-hiking.md,/things-to-do/moganshan-hiking/,"Moganshan hiking: the eight routes, with distances and honest timings",moganshan hiking,2600,no affiliate,liyan-ye,semi-stable,Trail,not_started,,,,,,
2027-01-12,Tue,041,core editorial,041,P4,briefs/2027-01-12-charcoal-tea-by-the-fire.md,output/charcoal-tea-by-the-fire.md,/things-to-do/charcoal-tea-by-the-fire/,Charcoal tea by the fire: weilu zhucha and the winter guesthouse,weilu zhucha,1200,go/stays-all,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-01-14,Thu,D2027-02,weekly dispatch,D2027-02,P9,briefs/templates/dispatch.md,output/dispatch-2027-02.md,/journal/news/dispatch/2027-02/,"Moganshan dispatch, week 02",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-01-15,Fri,042,core editorial,042,P9,briefs/2027-01-15-moganshans-2027-race-calendar.md,output/moganshans-2027-race-calendar.md,/journal/moganshans-2027-race-calendar/,Moganshan's 2027 race calendar,moganshan races 2027,1300,no affiliate,cyril-drouin,evergreen,Article,not_started,,,,,,Diary item: confirm the source document has appeared before drafting.
2027-01-18,Mon,043,core editorial,043,P7,briefs/2027-01-18-moganshan-the-mountain-vs-moganshan-road-in.md,output/moganshan-the-mountain-vs-moganshan-road-in.md,/itineraries/moganshan-the-mountain-vs-moganshan-road-in/,Moganshan the mountain vs Moganshan Road in Shanghai,moganshan road shanghai,1200,no affiliate,echo-peng,semi-stable,Comparison,not_started,,,,,,
2027-01-21,Thu,044,core editorial,044,P5,briefs/2027-01-21-missionaries-mosquitoes-and-a-hill-station.md,output/missionaries-mosquitoes-and-a-hill-station.md,/journal/missionaries-mosquitoes-and-a-hill-station/,"Missionaries, mosquitoes and a hill station: how foreigners built Moganshan",moganshan history,2400,no affiliate,cyril-drouin,evergreen,Article,not_started,,,,,,
2027-01-21,Thu,D2027-03,weekly dispatch,D2027-03,P9,briefs/templates/dispatch.md,output/dispatch-2027-03.md,/journal/news/dispatch/2027-03/,"Moganshan dispatch, week 03",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-01-24,Sun,045,core editorial,045,P7,briefs/2027-01-24-moganshan-for-couples.md,output/moganshan-for-couples.md,/itineraries/moganshan-for-couples/,Moganshan for couples,moganshan for couples,1600,go/stays-all,echo-peng,semi-stable,Article,not_started,,,,,,
2027-01-27,Wed,046,core editorial,046,P2,briefs/2027-01-27-beihu.md,output/beihu.md,/moganshan/villages/beihu/,"Beihu: tea farms above, fireflies below",beihu village moganshan fireflies,1400,go/stays-village-beihu,echo-peng,semi-stable,Village,not_started,,,,,,
2027-01-28,Thu,D2027-04,weekly dispatch,D2027-04,P9,briefs/templates/dispatch.md,output/dispatch-2027-04.md,/journal/news/dispatch/2027-04/,"Moganshan dispatch, week 04",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-01-30,Sat,047,core editorial,047,P2,briefs/2027-01-30-what-a-homestay-costs-now.md,output/what-a-homestay-costs-now.md,/where-to-stay/what-a-homestay-costs-now/,What a homestay costs now: the 2025-26 Moganshan shake-out,moganshan homestay prices,2100,go/stays-all,echo-peng,semi-stable,Article,not_started,,,,,,
2027-02-02,Tue,048,core editorial,048,P9,briefs/2027-02-02-moganshans-ten-openings-for-2027.md,output/moganshans-ten-openings-for-2027.md,/journal/moganshans-ten-openings-for-2027/,Moganshan's ten openings for 2027,moganshan new hotels 2027,1400,go/stays-all,cyril-drouin,evergreen,Article,not_started,,,,,,Diary item: confirm the source document has appeared before drafting.
2027-02-04,Thu,D2027-05,weekly dispatch,D2027-05,P9,briefs/templates/dispatch.md,output/dispatch-2027-05.md,/journal/news/dispatch/2027-05/,"Moganshan dispatch, week 05",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-02-05,Fri,049,core editorial,049,P7,briefs/2027-02-05-moganshan-with-children.md,output/moganshan-with-children.md,/itineraries/moganshan-with-children/,Moganshan with children: the honest version,moganshan with kids,1800,go/stays-all,echo-peng,semi-stable,Article,not_started,,,,,,
2027-02-08,Mon,050,core editorial,050,P2,briefs/2027-02-08-kaiyuan-sembo.md,output/kaiyuan-sembo.md,/where-to-stay/kaiyuan-sembo/,Kaiyuan Sembo: the waterpark resort that isn't really Moganshan,kaiyuan sembo moganshan,1500,go/stay-kaiyuan-senbo,echo-peng,semi-stable,Article,not_started,,,,,,
2027-02-11,Thu,051,core editorial,051,P4,briefs/2027-02-11-bamboo-shoot-season.md,output/bamboo-shoot-season.md,/things-to-do/bamboo-shoot-season/,"The bamboo shoot season: chunsun, dongsun and what to order",bamboo shoots moganshan,1300,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-02-11,Thu,D2027-06,weekly dispatch,D2027-06,P9,briefs/templates/dispatch.md,output/dispatch-2027-06.md,/journal/news/dispatch/2027-06/,"Moganshan dispatch, week 06",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-02-14,Sun,052,core editorial,052,P3,briefs/2027-02-14-ziling-old-teahouse-and-the-laoling-reservoir.md,output/ziling-old-teahouse-and-the-laoling-reservoir.md,/things-to-do/ziling-old-teahouse-and-the-laoling-reservoir/,Ziling old teahouse and the Laoling reservoir walk,ziling moganshan,1400,no affiliate,liyan-ye,semi-stable,Trail,not_started,,,,,,
2027-02-17,Wed,053,core editorial,053,P1,briefs/2027-02-17-booking-a-chinese-guesthouse-from-abroad.md,output/booking-a-chinese-guesthouse-from-abroad.md,/plan/booking-a-chinese-guesthouse-from-abroad/,"Booking a Chinese guesthouse from abroad: deposits, cancellations, and the photo gap",booking chinese homestay from abroad,1600,go/stays-all,cyril-drouin,volatile,Article,not_started,,,,,,
2027-02-18,Thu,D2027-07,weekly dispatch,D2027-07,P9,briefs/templates/dispatch.md,output/dispatch-2027-07.md,/journal/news/dispatch/2027-07/,"Moganshan dispatch, week 07",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-02-20,Sat,054,core editorial,054,P4,briefs/2027-02-20-mogan-huangya-picking-season.md,output/mogan-huangya-picking-season.md,/things-to-do/mogan-huangya-picking-season/,"Mogan Huangya picking season: Qingming to Guyu, and where to pick",tea picking china,1600,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-02-23,Tue,055,core editorial,055,P7,briefs/2027-02-23-moganshan-vs-hangzhou.md,output/moganshan-vs-hangzhou.md,/itineraries/moganshan-vs-hangzhou/,"Moganshan vs Hangzhou: as a base, as a day trip, as a pairing",moganshan from hangzhou,1700,go/train-hangzhou-deqing,echo-peng,semi-stable,Comparison,not_started,,,,,,
2027-02-25,Thu,D2027-08,weekly dispatch,D2027-08,P9,briefs/templates/dispatch.md,output/dispatch-2027-08.md,/journal/news/dispatch/2027-08/,"Moganshan dispatch, week 08",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-02-26,Fri,056,core editorial,056,P3,briefs/2027-02-26-trail-surfaces.md,output/trail-surfaces.md,/things-to-do/trail-surfaces/,"Trail surfaces: steps, dirt, and what 500 steps to Sword Pond feels like",moganshan sword pond steps,1100,no affiliate,liyan-ye,semi-stable,Trail,not_started,,,,,,
2027-03-01,Mon,057,core editorial,057,P6,briefs/2027-03-01-spring-on-moganshan.md,output/spring-on-moganshan.md,/seasons/spring-on-moganshan/,"Spring on Moganshan: blossom, shoots, and the first tea",moganshan spring,1500,go/stays-all,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-03-04,Thu,058,core editorial,058,P9,briefs/2027-03-04-moganshan-homestay-conference.md,output/moganshan-homestay-conference.md,/journal/moganshan-homestay-conference/,"The Moganshan Homestay Conference: what 1,400 operators are worried about",moganshan homestay conference,1500,no affiliate,cyril-drouin,evergreen,Article,not_started,,,,,,Diary item: confirm the source document has appeared before drafting.
2027-03-04,Thu,D2027-09,weekly dispatch,D2027-09,P9,briefs/templates/dispatch.md,output/dispatch-2027-09.md,/journal/news/dispatch/2027-09/,"Moganshan dispatch, week 09",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-03-07,Sun,059,core editorial,059,P8,briefs/2027-03-07-yiyuan-organic-farm-and-the-deqing-countryside.md,output/yiyuan-organic-farm-and-the-deqing-countryside.md,/moganshan/yiyuan-organic-farm-and-the-deqing-countryside/,Yiyuan Organic Farm and the Deqing countryside,yiyuan organic farm deqing,1300,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-03-10,Wed,060,core editorial,060,P9,briefs/2027-03-10-climbing-festival.md,output/climbing-festival.md,/journal/climbing-festival/,The climbing festival: Moganshan's oldest walking event,moganshan climbing festival,1300,no affiliate,cyril-drouin,evergreen,Article,not_started,,,,,,Diary item: confirm the source document has appeared before drafting.
